Animal.Planet.id, Animal Planet
AllPlay.Ent.id, AllPlay Ent
Al.Quran.Al.Kareem.id, Al Quran Al Kareem
AlQuran.Kareem.id, AlQuran Kareem
Animax.id, Animax
Aniplus.id, Aniplus
Arirang.id, Arirang
BBC.Earth.id, BBC Earth
BBC.World.News.id, BBC World News
Bloomberg.id, Bloomberg
BTV.id, BTV
BUDDY.STARS.id, BUDDY STARS
CBeebies.id, CBeebies
CCM.id, CCM
Celebrities.TV.id, Celebrities TV
CGTN.id, CGTN
Channel.News.Asia.id, Channel News Asia
Celestial.Movies.id, Celestial Movies
CGTN.Documentary.id, CGTN Documentary
CNBC.id, CNBC
Crime.Investigation.id, Crime Investigation
Dreamworks.id, Dreamworks
DW.English.id, DW English
Net..id, Net.
LIFE.id, LIFE
Lifetime.id, Lifetime
CINEEDGE.id, CINEEDGE
Entertainment.id, Entertainment
Fight.Sports.id, Fight Sports
GTV.id, GTV
Kompas.TV.id, Kompas TV
Love.Nature.id, Love Nature
MNCTV.id, MNCTV
Moonbug.id, Moonbug
Cartoon.Network.id, Cartoon Network
Nick.Junior.id, Nick Junior
Dunia.anak.id, Dunia anak
MyKidz.id, MyKidz
Cartoonito.id, Cartoonito
Discovery.Channel.id, Discovery Channel
HGTV.id, HGTV
FashionTV.id, FashionTV
Citra.Dangdut.id, Citra Dangdut
TRANS.TV.id, TRANS TV
MDTV.id, MDTV
DAAI.TV.id, DAAI TV
Jaktv.id, Jaktv
